City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
106,Saint George,37.1,-113.58,59.0,14,1,12.75,US,clear sky,0.0,0.0,2020-02-20 22:46:54
107,Chalus,36.66,51.42,46.4,100,90,0.18,IR,overcast clouds,0.19,0.0,2020-02-20 22:47:30
108,Faanui,-16.48,-151.75,83.3,75,76,17.49,PF,light rain,0.38,0.0,2020-02-20 22:47:30
109,Port Elizabeth,-33.92,25.57,68.0,82,18,12.75,ZA,few clouds,0.0,0.0,2020-02-20 22:47:31
110,Abapo,-18.83,-63.47,69.26,95,95,3.89,BO,light rain,0.38,0.0,2020-02-20 22:47:01
111,Caloundra,-26.8,153.13,84.0,69,40,11.41,AU,scattered clouds,0.88,0.0,2020-02-20 22:47:32
112,Prince Rupert,54.32,-130.32,41.0,75,75,16.11,CA,broken clouds,0.0,0.0,2020-02-20 22:47:33
113,Presidencia Roque Saenz Pena,-26.79,-60.44,74.44,60,40,4.9,AR,scattered clouds,0.0,0.0,2020-02-20 22:47:33
114,Kerman,30.28,57.08,51.8,37,0,4.7,IR,clear sky,0.0,0.0,2020-02-20 22:43:47
115,Matagami,49.75,-77.63,6.8,55,90,13.87,CA,overcast clouds,0.0,0.0,2020-02-20 22:47:31
116,Kamina,-8.74,24.99,66.24,86,90,1.61,CD,overcast clouds,0.0,0.0,2020-02-20 22:47:35
117,Saint-Joseph,-21.37,55.62,77.0,69,20,3.36,RE,few clouds,0.0,0.0,2020-02-20 22:47:36
118,Jamestown,42.1,-79.24,23.0,61,90,10.29,US,light snow,0.0,0.0,2020-02-20 22:44:37
119,Louis Trichardt,-23.04,29.9,69.22,75,24,1.63,ZA,few clouds,0.0,0.0,2020-02-20 22:47:37
120,Isangel,-19.55,169.27,82.4,78,20,6.93,VU,few clouds,0.13,0.0,2020-02-20 22:47:37
121,Ilulissat,69.22,-51.1,-0.4,64,20,11.41,GL,few clouds,0.0,0.0,2020-02-20 22:47:38
122,Dandong,40.13,124.39,36.43,81,100,11.48,CN,overcast clouds,0.0,0.0,2020-02-20 22:47:38
123,Komsomolskiy,40.43,71.72,33.8,69,0,4.7,UZ,mist,0.0,0.0,2020-02-20 22:47:39
124,Alofi,-19.06,-169.92,84.2,89,75,9.17,NU,light intensity drizzle,0.0,0.0,2020-02-20 22:47:39
125,Longyearbyen,78.22,15.64,6.8,60,40,11.41,SJ,scattered clouds,0.0,0.13,2020-02-20 22:46:25
126,High Level,58.52,-117.14,41.0,30,20,13.87,CA,few clouds,0.0,0.0,2020-02-20 22:47:40
127,Ipilan,8.84,117.9,77.7,75,44,12.19,PH,light rain,0.31,0.0,2020-02-20 22:47:41
128,Sompeta,18.93,84.6,65.66,74,0,1.74,IN,clear sky,0.0,0.0,2020-02-20 22:47:41
129,Havoysund,71.0,24.66,26.6,68,83,27.51,NO,broken clouds,0.0,0.0,2020-02-20 22:47:42
130,Plettenberg Bay,-34.05,23.37,65.19,89,33,1.23,ZA,scattered clouds,0.0,0.0,2020-02-20 22:47:42
131,Sao Filipe,14.9,-24.5,69.8,76,8,15.28,CV,clear sky,0.0,0.0,2020-02-20 22:47:43
132,Neiafu,-18.65,-173.98,82.4,74,40,10.29,TO,scattered clouds,0.0,0.0,2020-02-20 22:47:43
133,Thompson,55.74,-97.86,30.2,54,90,11.41,CA,overcast clouds,0.0,0.0,2020-02-20 22:45:32
134,Tasiilaq,65.61,-37.64,23.0,67,100,9.17,GL,light snow,0.0,0.13,2020-02-20 22:47:45
135,Mount Isa,-20.73,139.5,82.4,21,0,5.82,AU,clear sky,0.0,0.0,2020-02-20 22:47:45
136,Hasaki,35.73,140.83,41.0,80,75,8.05,JP,broken clouds,0.0,0.0,2020-02-20 22:45:58
137,Khatanga,71.97,102.5,3.07,95,97,8.77,RU,light snow,0.0,0.13,2020-02-20 22:47:46
138,Kaitangata,-46.28,169.85,69.01,72,96,1.99,NZ,overcast clouds,0.0,0.0,2020-02-20 22:47:47
139,Salalah,17.02,54.09,77.0,69,75,4.7,OM,broken clouds,0.0,0.0,2020-02-20 22:47:47
140,Amapa,1.0,-52.0,73.09,94,100,3.42,BR,overcast clouds,0.0,0.0,2020-02-20 22:47:48
141,Bethel,41.37,-73.41,35.6,58,20,9.17,US,few clouds,0.0,0.0,2020-02-20 22:47:48
142,Okhotsk,59.38,143.3,-12.51,76,0,7.74,RU,clear sky,0.0,0.0,2020-02-20 22:47:49
143,Saskylakh,71.92,114.08,-19.17,99,90,3.09,RU,overcast clouds,0.0,0.0,2020-02-20 22:47:50
144,Keflavik,64.0,-22.56,32.0,71,75,14.99,IS,broken clouds,0.0,0.0,2020-02-20 22:47:50
145,Villaviciosa,43.48,-5.44,55.0,93,90,4.7,ES,overcast clouds,0.0,0.0,2020-02-20 22:47:51
146,Juneau,58.3,-134.42,35.6,95,90,33.33,US,moderate rain,0.0,7.25,2020-02-20 22:45:17
147,Villa Bruzual,9.33,-69.12,81.72,61,92,9.55,VE,overcast clouds,0.0,0.0,2020-02-20 22:47:52
148,Mackenzie,55.3,-123.17,35.6,51,1,13.87,CA,clear sky,0.0,0.19,2020-02-20 22:47:53
149,Kalevala,65.2,31.17,18.0,85,87,8.12,RU,overcast clouds,0.0,0.0,2020-02-20 22:47:53
150,Bilma,18.69,12.92,63.61,23,12,8.81,NE,few clouds,0.0,0.0,2020-02-20 22:47:54
